Hospital Name,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Patient experience national comparison
HOLY CROSS HOSPITAL,AZ,Critical Access Hospitals,Proprietary,Yes,,Not Available,Same as the national average,Same as the national average,Below the national average
COBRE VALLEY REGIONAL MEDICAL CENTER,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Not Available,Same as the national average,Below the national average
WHITE MOUNTAIN REGIONAL MEDICAL CENTER,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
LA PAZ REGIONAL HOSPITAL,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Not Available,Not Available,Same as the national average
"LOS NINOS HOSPITAL, INC.",AZ,Childrens,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available
PHOENIX CHILDREN'S HOSPITAL,AZ,Childrens,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available
"HACIENDA CHILDREN'S HOSPITAL, INC.",AZ,Childrens,Proprietary,No,,Not Available,Not Available,Not Available,Not Available
SILOAM SPRINGS REGIONAL HOSPITAL,AR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
JOHNSON REGIONAL MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Same as the national average
WASHINGTON REGIONAL MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
CHI-ST VINCENT INFIRMARY,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
MERCY HOSPITAL NORTHWEST ARKANSAS,AR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Above the national average,Same as the national average,Same as the national average
CHAMBERS MEMORIAL HOSPITAL,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Above the national average,Same as the national average
WHITE COUNTY MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
MENA REGIONAL HEALTH SYSTEM,AR,Acute Care Hospitals,Government - Local,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
UAMS MEDICAL CENTER,AR,Acute Care Hospitals,Government - State,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
SPARKS MEDICAL CENTER - VAN BUREN,AR,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
FORREST CITY MEDICAL CENTER,AR,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Below the national average
ST BERNARDS MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
NORTHWEST MEDICAL CENTER-SPRINGDALE,AR,Acute Care Hospitals,Proprietary,Yes,3.0,Below the national average,Same as the national average,Above the national average,Below the national average
CHI ST. VINCENT HOSPITAL HOT SPRINGS,AR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
BAXTER REGIONAL MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Above the national average,Same as the national average
CONWAY REGIONAL MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Above the national average,Same as the national average
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
ARKANSAS METHODIST MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
ST MARYS REGIONAL MEDICAL CENTER,AR,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
FIVE RIVERS MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
OUACHITA COUNTY MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
DREW MEMORIAL HOSPITAL,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Same as the national average
SPARKS REGIONAL MEDICAL CENTER,AR,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
MERCY HOSPITAL FORT SMITH,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
MAGNOLIA HOSPITAL,AR,Acute Care Hospitals,Government - Local,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
GREAT RIVER MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Below the national average,Same as the national average,Above the national average,Below the national average
JEFFERSON REGIONAL MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
NORTH METRO MEDICAL CENTER,AR,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Above the national average,Above the national average
NATIONAL PARK MEDICAL CENTER,AR,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
SALINE MEMORIAL HOSPITAL,AR,Acute Care Hospitals,Proprietary,Yes,3.0,Below the national average,Same as the national average,Above the national average,Below the national average
HELENA REGIONAL MEDICAL CENTER,AR,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Above the national average,Same as the national average
MEDICAL CENTER SOUTH ARKANSAS,AR,Acute Care Hospitals,Proprietary,Yes,3.0,Above the national average,Same as the national average,Above the national average,Same as the national average
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
NEA BAPTIST MEMORIAL HOSPITAL,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
WHITE RIVER MEDICAL CENTER,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Above the national average,Same as the national average
LEVI HOSPITAL,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
"ARKANSAS HEART HOSPITAL, LLC",AR,Acute Care Hospitals,Proprietary,Yes,4.0,Below the national average,Same as the national average,Above the national average,Above the national average
ST VINCENT MEDICAL CENTER/NORTH,AR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Below the national average
ARKANSAS SURGICAL HOSPITAL,AR,Acute Care Hospitals,Physician,Yes,5.0,Not Available,Same as the national average,Not Available,Above the national average
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,AR,Acute Care Hospitals,Proprietary,Yes,,Not Available,Below the national average,Same as the national average,Above the national average
WADLEY REGIONAL MEDICAL CENTER AT HOPE,AR,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
BAPTIST HEALTH MEDICAL CENTER-CONWAY,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
NORTH LOGAN MERCY HOSPITAL,AR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,Not Available,Not Available,Not Available,Not Available
RIVER VALLEY MEDICAL CENTER,AR,Critical Access Hospitals,Proprietary,Yes,,Same as the national average,Same as the national average,Not Available,Not Available
MERCY HOSPITAL TURNER MEMORIAL,AR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Not Available
"EUREKA SPRINGS HOSPITAL, LLC",AR,Critical Access Hospitals,Proprietary,Yes,,Not Available,Not Available,Not Available,Not Available
MERCY HOSPITAL WALDRON,AR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Not Available
COMMUNITY MEDICAL CENTER IZARD COUNTY,AR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Below the national average,Not Available,Not Available,Not Available
CROSSRIDGE COMMUNITY HOSPITAL,AR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
MCGEHEE HOSPITAL,AR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
LAWRENCE MEMORIAL HOSPITAL,AR,Critical Access Hospitals,Government - Local,Yes,,Same as the national average,Not Available,Not Available,Not Available
